Date	Price	Open	High	Low	Vol.	Change %
9/12/2022	"41,862.29"	"41,948.16"	"42,137.80"	"41,812.93"		-0.20%
9/9/2022	"41,948.16"	"41,824.79"	"42,099.54"	"41,815.49"		0.29%
9/8/2022	"41,824.79"	"41,766.05"	"41,936.93"	"41,676.94"		0.14%
9/7/2022	"41,766.05"	"41,860.36"	"42,064.94"	"41,703.95"		-0.23%
9/6/2022	"41,860.36"	"41,859.30"	"41,927.05"	"41,684.01"		0.00%
9/5/2022	"41,859.30"	"42,309.11"	"42,388.34"	"41,859.10"		-1.06%
9/2/2022	"42,309.11"	"42,460.08"	"42,568.66"	"42,238.22"		-0.36%
9/1/2022	"42,460.08"	"42,351.15"	"42,667.53"	"42,351.15"		0.26%
8/31/2022	"42,351.15"	"42,195.26"	"42,472.14"	"42,079.05"		0.37%
8/30/2022	"42,195.25"	"42,504.34"	"43,052.27"	"42,106.02"		-0.73%
8/29/2022	"42,504.34"	"42,591.51"	"42,591.51"	"41,828.13"		-0.20%
8/26/2022	"42,591.51"	"43,032.57"	"43,201.21"	"42,547.72"		-1.02%
8/25/2022	"43,032.57"	"43,337.97"	"43,457.55"	"42,961.10"		-0.70%
8/24/2022	"43,337.97"	"43,366.77"	"43,684.11"	"43,299.48"		-0.07%
8/23/2022	"43,366.78"	"42,826.66"	"43,419.59"	"42,826.66"		1.26%
8/22/2022	"42,826.66"	"43,270.65"	"43,314.19"	"42,787.86"		-1.03%
8/19/2022	"43,270.65"	"43,481.50"	"43,531.65"	"43,232.95"		-0.48%
8/18/2022	"43,481.50"	"43,676.56"	"43,879.23"	"43,390.33"		-0.45%
8/17/2022	"43,676.56"	"43,436.48"	"43,736.43"	"43,389.48"		0.55%
8/16/2022	"43,436.48"	"43,621.82"	"43,887.62"	"43,379.79"		-0.42%
8/15/2022	"43,621.82"	"42,857.57"	"43,659.04"	"42,857.57"		1.78%
8/12/2022	"42,857.57"	"42,243.33"	"42,874.22"	"42,243.33"		1.45%
8/11/2022	"42,243.33"	"42,494.85"	"42,678.94"	"42,215.73"		-0.59%
8/10/2022	"42,494.85"	"42,096.24"	"42,776.47"	"42,096.24"		0.95%
8/5/2022	"42,096.24"	"41,425.37"	"42,168.08"	"41,425.37"		1.62%
8/4/2022	"41,425.37"	"41,068.87"	"41,609.90"	"41,068.87"		0.87%
8/3/2022	"41,068.87"	"40,191.61"	"41,208.09"	"40,191.61"		2.18%
8/2/2022	"40,191.61"	"40,075.96"	"40,458.09"	"39,762.50"		0.29%
8/1/2022	"40,075.96"	"40,150.36"	"40,380.64"	"40,070.67"		-0.19%
7/29/2022	"40,150.36"	"40,276.64"	"40,420.57"	"40,026.86"		-0.31%
7/28/2022	"40,276.64"	"39,972.64"	"40,623.60"	"39,972.64"		0.76%
7/27/2022	"39,972.64"	"39,894.05"	"40,097.19"	"39,605.10"		0.20%
7/26/2022	"39,894.05"	"39,844.02"	"40,135.44"	"39,712.94"		0.13%
7/25/2022	"39,844.02"	"40,077.30"	"40,077.30"	"39,720.80"		-0.58%
7/22/2022	"40,077.30"	"39,831.75"	"40,180.78"	"39,541.09"		0.62%
7/21/2022	"39,831.75"	"40,459.70"	"40,577.06"	"39,801.21"		-1.55%
7/20/2022	"40,459.70"	"40,389.07"	"40,533.60"	"40,135.38"		0.17%
7/19/2022	"40,389.07"	"41,367.11"	"41,551.53"	"40,216.38"		-2.36%
7/18/2022	"41,367.11"	"42,074.91"	"42,074.91"	"41,275.08"		-1.68%
7/15/2022	"42,074.91"	"42,348.91"	"42,499.48"	"42,027.37"		-0.65%
7/14/2022	"42,348.91"	"41,862.77"	"42,362.91"	"41,862.77"		1.16%
7/13/2022	"41,862.77"	"41,344.01"	"41,971.83"	"41,223.97"		1.25%
7/7/2022	"41,344.01"	"41,159.79"	"41,396.57"	"41,009.64"		0.45%
7/6/2022	"41,159.79"	"41,102.57"	"41,334.90"	"41,102.57"		0.14%
7/5/2022	"41,102.57"	"41,348.19"	"41,458.08"	"41,068.60"		-0.59%
7/4/2022	"41,348.19"	"41,630.35"	"41,685.69"	"41,323.42"		-0.68%
7/1/2022	"41,630.35"	"41,540.83"	"41,744.86"	"41,538.49"		0.22%
6/30/2022	"41,540.83"	"41,297.73"	"41,559.31"	"41,220.49"		0.59%
6/29/2022	"41,297.73"	"41,765.62"	"41,813.62"	"41,119.19"		-1.12%
6/28/2022	"41,765.62"	"41,878.57"	"42,149.29"	"41,614.60"		-0.27%
6/27/2022	"41,878.57"	"41,051.79"	"41,949.93"	"41,051.79"		2.01%
6/24/2022	"41,051.79"	"42,716.97"	"42,782.34"	"40,555.41"		-3.90%
